timestamp,drone_id,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
201.569,3,-37.229290,18.508130,-37.589130,0.014346,-0.360284,-0.004975,-0.932719
202.572,0,-4.373732,18.260190,-28.111360,-0.007367,-0.036149,0.013059,0.999234
202.572,1,-31.952290,18.203380,-11.970470,0.013675,-0.722011,0.005165,-0.691728
202.572,2,-36.634550,18.379290,-30.048550,0.013636,-0.504677,0.001437,-0.863200
202.572,3,-41.174550,18.344900,-39.793930,0.014237,-0.382665,-0.003728,-0.923770
203.574,0,-8.797662,18.174630,-29.642440,-0.006947,-0.035878,0.013004,0.999247
203.574,1,-33.941410,18.420960,-16.257730,0.011429,-0.676540,0.011462,-0.736228
203.574,2,-37.827050,18.053400,-34.465660,0.013564,-0.468322,-0.000361,-0.883454
203.574,3,-44.855650,18.224250,-42.405480,0.014598,-0.382524,-0.001314,-0.923829
204.578,0,-13.177610,18.144220,-31.365940,0.000879,0.042243,0.015863,0.998981
204.578,1,-35.475980,18.490450,-20.729730,0.011615,-0.621288,0.009452,-0.783440
204.578,2,-39.342000,17.926740,-38.735830,0.013594,-0.447248,-0.004917,-0.894293
204.578,3,-48.149190,18.188670,-45.446610,0.013406,-0.381995,0.001242,-0.924066
206.080,0,-19.995930,18.172590,-33.121620,-0.002479,0.176782,0.013461,0.984155
206.080,1,-37.090600,18.388470,-27.584690,0.013067,-0.535632,0.004325,-0.844339
206.080,2,-42.443920,18.053570,-44.710170,0.012060,-0.407109,-0.007899,-0.913266
206.080,3,-51.878270,18.446840,-50.422310,-0.003451,-0.374910,0.009827,-0.927003
207.082,0,-24.551560,18.210120,-33.908920,-0.006924,0.259943,0.011323,0.965533
207.082,1,-38.116700,18.279510,-32.096580,0.013673,-0.488657,0.001399,-0.872368
207.082,2,-45.085240,18.242620,-48.266400,0.008592,-0.404048,-0.011310,-0.914628
207.082,3,-52.697570,18.983990,-52.876220,-0.016184,-0.371902,0.006980,-0.928105
208.085,0,-29.096580,18.247360,-34.807700,-0.009891,0.314705,0.009542,0.949090
208.085,1,-39.369630,18.201530,-36.587590,0.013751,-0.461896,-0.001351,-0.886827
208.085,2,-48.226980,18.491340,-51.205330,-0.001766,-0.408280,-0.011024,-0.912789
208.085,3,-52.259740,19.232150,-53.704090,-0.017690,-0.371791,0.002639,-0.928144
209.088,0,-33.421090,18.276140,-36.005070,-0.012386,0.340108,0.007335,0.940276
209.088,1,-40.951850,18.182880,-40.827130,0.013501,-0.440656,-0.005395,-0.897558
209.088,2,-50.763790,18.888090,-52.772370,-0.014364,-0.392578,0.011161,-0.919539
209.088,3,-51.762020,19.448590,-53.509720,0.014517,-0.360598,-0.011557,-0.932537
210.091,0,-37.580180,18.296100,-37.635420,-0.014522,0.362597,0.004630,0.931822
210.091,1,-42.972490,18.218120,-44.829690,0.012092,-0.418895,-0.007866,-0.907920
210.091,2,-51.499010,18.497850,-53.185090,-0.015218,-0.392546,0.009153,-0.919561
210.091,3,-52.706420,20.279660,-54.082940,0.012762,-0.360913,-0.007161,-0.932485
